% SapEdge src_layer dst_layer config_sel th0 th1 th2 th3 lv0 lv1 lv2 lv3 lv4 lv5
SapEdge 1 2 0 67 195 440 1021 0 1 2 3 3 3
SapEdge 2 3 0 217 579 1172 2305 0 1 2 3 3 3
SapEdge 3 4 0 151 400 790 1519 0 1 2 3 3 3
SapEdge 1 4 0 67 195 440 1021 -1 -1 -1 -1 -1 -1
SapEdge 4 5 0 138 358 695 1303 0 1 2 3 3 3
SapEdge 5 6 0 326 775 1403 2455 0 1 2 3 3 3
SapEdge 4 7 0 138 358 695 1303 -1 -1 -1 -1 -1 -1
SapEdge 6 8 0 434 1001 1767 3022 0 1 2 3 3 3
SapEdge 7 8 0 68 184 382 780 -1 -1 -1 -1 -1 -1
SapEdge 8 9 0 368 850 1507 2590 0 1 2 3 3 3
SapEdge 9 10 0 434 969 1685 2839 0 1 2 3 3 3
SapEdge 8 11 0 368 850 1507 2590 -1 -1 -1 -1 -1 -1
SapEdge 10 12 0 320 697 1192 1992 0 1 2 3 3 3
SapEdge 11 12 0 525 1183 2050 3444 -1 -1 -1 -1 -1 -1
SapEdge 12 13 0 280 626 1099 1885 0 1 2 3 3 3
SapEdge 13 14 0 0 0 0 0 0 1 2 3 3 3
